Symbol,Company,Close,RS_3Months,RS_6Months,RS_9Months,RS_1Year,RS
2320,ALBABTAIN,64.35,97,97,99,99,99
1322,AMAK,88.0,99,99,99,98,99
1303,EIC,11.2,91,99,99,99,99
7200,MIS,174.0,99,99,98,94,99
4030,BAHRI,28.98,95,97,96,98,98
4191,ABO MOATI,46.0,92,96,97,99,98
1831,MAHARAH,6.44,99,98,93,93,98
1211,MAADEN,60.95,89,96,98,97,97
2381,ARABIAN DRILLING,98.75,99,98,91,76,97
2382,ADES,17.44,95,99,92,90,96
2240,SENAAT,38.3,98,56,98,95,96
4342,JADWA REIT SAUDI,11.17,92,94,95,94,95
2080,GASCO,94.8,98,98,84,82,95
7020,ETIHAD ETISALAT,66.0,90,95,96,97,95
4240,CENOMI RETAIL,19.13,5,36,99,99,94
4051,BAAZEEM,6.71,93,96,93,92,94
1321,EAST PIPES,138.3,96,94,81,88,93
2300,SPM,62.05,97,82,95,89,93
2110,SAUDI CABLE,140.0,64,78,97,98,93
1180,SNB,37.88,87,92,93,95,92
1833,ALMAWARID,130.1,94,72,82,96,92
4071,ALARABIA,115.6,98,95,70,58,91
1810,SEERA,26.8,70,93,94,96,91
4333,TALEEM REIT,10.16,91,93,88,85,90
4200,ALDREES,127.9,90,88,80,93,90
4140,SIECO,2.26,95,91,84,84,90
4165,ALMAJED OUD,132.3,96,62,90,80,89
4349,ALINMA HOSPITALITY REIT,8.3,89,87,87,89,89
4142,RIYADH CABLES,130.5,94,69,89,83,88
4347,BONYAN REIT,9.28,87,90,86,86,88
7010,STC,42.98,84,89,83,93,88
4345,ALINMA RETAIL REIT,4.58,86,86,86,87,87
1120,ALRAJHI,97.5,80,92,83,91,87
2020,SABIC AGRI-NUTRIENTS,110.7,75,92,91,88,86
4337,AL AZIZIAH REIT,4.04,82,77,91,90,86
4190,JARIR,12.78,71,90,89,90,85
4280,KINGDOM,8.0,93,73,88,75,85
2223,LUBEREF,96.15,96,73,77,73,85
2282,NAQI,55.35,91,91,80,71,84
1060,SAB,32.38,89,81,72,88,84
1080,ANB,21.62,62,87,83,92,83
4348,ALKHABEER REIT,5.53,81,80,82,87,83
1050,BSF,16.82,80,74,79,91,83
4334,AL MAATHER REIT,8.81,83,83,78,83,82
2190,SISCO HOLDING,31.16,76,76,90,85,82
4013,SULAIMAN ALHABIB,257.0,84,76,79,78,81
1010,RIBL,27.14,86,74,69,86,81
4083,TASHEEL,154.9,80,84,73,83,80
1304,ALYAMAMAH STEEL,32.08,65,90,85,82,80
4340,Al RAJHI REIT,7.88,78,75,81,84,80
2222,SAUDI ARAMCO,23.83,83,85,75,66,79
1835,TAMKEEN,54.0,75,88,89,61,79
1302,BAWAN,50.3,56,78,92,75,78
4336,MULKIA REIT,4.62,81,81,74,72,78
4003,EXTRA,84.5,84,80,71,71,78
4335,MUSHARAKA REIT,4.08,77,82,72,73,77
2380,PETRO RABIGH,6.84,85,75,64,66,77
4339,DERAYAH REIT,5.23,74,71,76,77,76
4050,SASCO,55.5,88,59,61,74,76
2081,AWPT,134.5,82,70,58,81,76
2140,AYYAN,12.81,85,84,41,76,75
1030,SAIB,13.13,72,65,76,79,75
4338,ALAHLI REIT 1,6.3,79,66,66,78,74
4344,SEDCO CAPITAL REIT,6.7,82,79,69,59,74
1210,BCI,25.58,73,77,70,68,73
2330,ADVANCED,29.14,52,72,85,79,73
6013,DWF,109.7,60,89,78,63,73
4160,THIMAR,38.08,51,88,76,77,72
5110,SAUDI ELECTRICITY,14.05,76,79,67,64,72
1212,ASTRA INDUSTRIAL,141.7,88,59,67,51,71
2060,TASNEE,9.22,40,80,87,80,71
6020,GACO,16.4,60,78,74,80,71
4346,MEFIC REIT,3.47,74,69,68,69,70
4332,JADWA REIT ALHARAMAIN,4.95,78,72,55,70,70
2286,FOURTH MILLING,3.53,71,67,63,74,69
2070,SPIMACO,26.06,58,84,78,63,69
4016,AVALON PHARMA,111.2,62,63,62,85,68
4081,NAYIFAT,12.16,66,70,72,59,68
4350,ALISTITHMAR REIT,7.01,45,49,94,66,68
4292,ATAA,58.4,69,60,66,70,67
4004,DALLAH HEALTH,125.5,45,82,85,61,67
4015,JAMJOOM PHARMA,142.3,65,45,71,78,66
3010,ACC,21.23,79,63,57,56,66
6070,ALJOUF,43.6,69,86,67,48,66
3040,QACCO,42.1,85,46,56,56,65
4321,CENOMI CENTERS,18.88,38,83,75,73,65
4002,MOUWASAT,66.65,68,60,74,53,64
1183,SHL,16.52,27,85,77,81,64
4300,DAR ALARKAN,15.94,44,48,43,95,63
2040,SAUDI CERAMICS,27.24,56,65,80,55,63
1150,ALINMA,24.38,68,66,54,69,63
2285,ARABIAN MILLS,38.7,73,68,59,54,62
2283,FIRST MILLS,49.0,72,64,52,65,62
4291,NCLE,143.7,73,62,73,38,61
7040,GO TELECOM,90.5,37,61,87,62,61
2210,NAMA CHEMICALS,24.31,63,50,63,76,61
3004,NORTHERN CEMENT,7.19,66,68,50,57,60
4330,RIYAD REIT,4.96,70,68,50,53,60
4011,LAZURDE,11.4,52,54,68,67,59
2083,MARAFIQ,36.8,75,51,65,39,59
4192,ALSAIF GALLERY,6.28,67,58,52,58,59
4012,ALASEEL,3.37,67,46,63,60,58
4008,SACO,25.96,62,57,53,67,58
1182,AMLAK,10.59,38,70,64,71,57
1140,ALBILAD,24.82,53,74,59,56,57
4261,THEEB,37.6,64,54,61,54,56
4082,MRNA,9.66,55,53,60,68,56
4320,ALANDALUS,18.1,77,46,48,54,56
2270,SADAFCO,247.0,63,64,58,49,55
4005,CARE,142.7,35,58,70,72,55
1832,SADR,2.57,54,53,62,57,54
4100,MCDC,79.55,67,55,33,68,54
6016,BURGERIZZR,14.81,69,60,47,45,54
4310,KEC,11.42,59,58,51,55,53
1020,BJAZ,11.15,61,55,54,50,53
2010,SABIC,51.3,47,71,57,51,52
3030,SAUDI CEMENT,34.44,49,56,50,61,52
4260,BUDGET SAUDI,62.4,46,54,49,63,51
7202,SOLUTIONS,225.1,60,50,41,60,51
2350,SAUDI KAYAN,4.73,64,67,46,31,51
1834,SMASCO,5.28,57,56,61,37,50
8010,TAWUNIYA,117.0,55,26,57,62,50
2280,ALMARAI,43.26,51,52,44,50,49
2230,CHEMICAL,6.41,61,64,37,36,49
2290,YANSAB,27.48,36,66,60,47,49
4322,RETAL,11.72,78,29,28,46,48
3008,ALKATHIRI,1.83,49,50,55,44,48
4331,ALJAZIRA REIT,11.51,48,44,48,51,47
8012,JAZIRA TAKAFUL,11.17,55,43,45,43,47
2284,MODERN MILLS,28.62,53,62,36,35,46
4164,NAHDI,95.0,41,28,59,59,46
3090,TCC,9.08,65,44,30,46,46
8200,SAUDI RE,26.82,34,34,51,65,45
4263,SAL,160.4,58,52,46,24,45
2030,SARCO,50.85,40,39,48,41,44
2180,FIPCO,30.46,46,51,49,36,44
