period,Company,Symbol,Open,Highest,Lowest,Close,Change,Change %,Volume Traded,Value Traded
1 Year,ALBABTAIN,,37.30,69.85,35.8,69,31.7,84.99,"138,353,458","36,013,212.50"
1 Year,RASAN,,71.40,122,67.59,119.3,47.9,67.09,"176,313,087","79,039,417.60"
1 Year,SAUDI CABLE,,85.00,160,82.9,137,52,61.18,"29,796,906","6,621,997.30"
1 Year,EIC,,7.70,12.24,4.89,12.2,4.5,58.44,"1,264,454,414","67,566,065.76"
1 Year,CENOMI RETAIL,,12.24,35.38,10.08,19.36,7.12,58.17,"699,762,173","13,856,490.50"
1 Year,ABO MOATI,,30.80,53.95,29.7,44,13.2,42.86,"99,887,494","23,356,105.34"
1 Year,BAHRI,,22.20,32.5,20.64,30.68,8.48,38.20,"193,870,910","13,024,909.44"
1 Year,ALMAWARID,,106.60,157.6,103.8,136,29.4,27.58,"18,594,615","8,458,013.80"
1 Year,ETIHAD ETISALAT,,55.30,69,51.5,66.9,11.6,20.98,"263,177,308","84,403,803.00"
1 Year,SEERA,,23.04,31.6,20.68,27.2,4.16,18.06,"314,684,366","11,065,214.24"
1 Year,ALMOOSA,,146.00,212,126.6,170.9,24.9,17.05,"41,477,083","1,935,069.50"
1 Year,AMAK,,72.00,84.15,46.8,84.1,12.1,16.81,"70,997,917","75,069,879.35"
1 Year,MAADEN,,53.20,68.45,37.85,59,5.8,10.90,"530,203,602","96,193,269.85"
1 Year,SENAAT,,33.00,48.85,26.3,36.08,3.08,9.33,"157,831,921","16,156,671.80"
1 Year,SNB,,34.45,41,31.55,37.62,3.17,9.20,"1,216,327,603","315,073,752.30"
1 Year,ANB,,20.76,26.26,19.5,22.6,1.84,8.86,"374,237,463","21,697,718.13"
1 Year,ALDREES,,125.20,154.4,109.6,131.4,6.2,4.95,"81,669,793","29,497,673.40"
1 Year,STC,,40.60,48.3,39.8,42.38,1.78,4.38,"909,148,906","184,265,266.12"
1 Year,JADWA REIT SAUDI,,10.40,11.38,9.7,10.84,0.44,4.23,"59,954,718","1,197,806.49"
1 Year,CHERRY,,26.40,29.54,25.9,27.5,1.1,4.17,"26,902,594","32,686,176.40"
