Company,Symbol,TradingView,RS_1Year,RS_9Months,RS_6Months,RS_3Months,RS
2P,7204,TADAWUL:7204,23,19,22,47,32
A.OTHAIM MARKET,4001,TADAWUL:4001,26,36,42,37,36
ABO MOATI,4191,TADAWUL:4191,90,89,44,60,69
ACC,3010,TADAWUL:3010,72,86,87,86,84
ACIG,8150,TADAWUL:8150,2,3,5,8,6
ACWA,,,11,41,30,47,36
ADES,2382,TADAWUL:2382,97,97,93,79,89
ADVANCED,2330,TADAWUL:2330,59,46,16,91,61
AICC,8160,TADAWUL:8160,24,30,22,33,29
AL AZIZIAH REIT,4337,TADAWUL:4337,96,96,97,94,96
AL MAATHER REIT,4334,TADAWUL:4334,71,62,64,49,60
AL RAJHI REIT,4340,TADAWUL:4340,74,78,78,73,76
ALAHLI REIT 1,4338,TADAWUL:4338,66,57,76,57,63
ALAHLIA,8140,TADAWUL:8140,78,74,70,64,70
ALAKARIA,4020,TADAWUL:4020,17,28,89,70,55
ALAMAR,6014,TADAWUL:6014,18,44,45,72,51
ALANDALUS,4320,TADAWUL:4320,23,28,19,6,17
ALARABIA,4071,TADAWUL:4071,41,94,58,13,44
ALASEEL,4012,TADAWUL:4012,66,65,84,57,66
ALAWWAL,1040,TADAWUL:1040,85,74,70,64,72
ALBABTAIN,2320,TADAWUL:2320,98,94,91,67,84
ALBILAD,1140,TADAWUL:1140,59,62,36,25,42
ALDAWAA,4163,TADAWUL:4163,11,15,23,51,31
ALDREES,4200,TADAWUL:4200,65,63,26,53,52
ALETIHAD,8170,TADAWUL:8170,2,2,3,1,2
ALHAMMADI,4007,TADAWUL:4007,16,17,30,38,28
ALINMA,1150,TADAWUL:1150,81,88,92,64,78
ALINMA HOSPITALITY REIT,4349,TADAWUL:4349,75,74,75,71,74
ALINMA RETAIL REIT,4345,TADAWUL:4345,72,78,78,56,68
ALINMA TOKIO M,8312,TADAWUL:8312,78,74,70,64,70
ALISTITHMAR REIT,4350,TADAWUL:4350,42,57,42,42,45
ALJAZIRA REIT,4331,TADAWUL:4331,38,40,39,45,42
ALJOUF,6070,TADAWUL:6070,69,77,78,22,54
ALKATHIRI,3008,TADAWUL:3008,54,51,52,26,42
ALKHABEER REIT,4348,TADAWUL:4348,73,70,73,67,70
ALKHALEEJ TRNG,4290,TADAWUL:4290,9,14,1,5,7
ALKHODARI,1330,TADAWUL:1330,78,74,70,64,70
ALMAJDIAH,4326,TADAWUL:4326,7,5,11,2,6
ALMAJED OUD,4165,TADAWUL:4165,87,85,60,8,50
ALMARAI,2280,TADAWUL:2280,43,47,38,50,46
ALMASAR ALSHAMIL,6019,TADAWUL:6019,60,54,45,34,46
ALMAWARID,1833,TADAWUL:1833,44,55,43,34,42
ALMOOSA,4018,TADAWUL:4018,40,22,9,10,19
ALMUNAJEM,4162,TADAWUL:4162,36,56,91,89,73
ALOMRAN,4141,TADAWUL:4141,19,29,20,16,20
ALRAJHI,1120,TADAWUL:1120,86,84,61,33,60
ALRAJHI TAKAFUL,8230,TADAWUL:8230,55,56,76,99,77
ALRAMZ,4327,TADAWUL:4327,60,54,45,9,36
ALSAGR INSURANCE,8180,TADAWUL:8180,54,34,60,87,65
ALSAIF GALLERY,4192,TADAWUL:4192,73,77,85,90,83
ALUJAIN,2170,TADAWUL:2170,29,23,49,89,56
ALWASAIL INDUSTRIAL,,,52,43,35,35,40
ALYAMAMAH STEEL,1304,TADAWUL:1304,95,96,95,81,90
AMAK,1322,TADAWUL:1322,97,93,94,2,58
AMANA INSURANCE,8310,TADAWUL:8310,32,37,52,86,59
AMERICANA,6015,TADAWUL:6015,67,58,81,95,80
AMIANTIT,2160,TADAWUL:2160,24,27,31,74,46
AMLAK,1182,TADAWUL:1182,55,34,30,33,37
ANAAM HOLDING,4061,TADAWUL:4061,19,18,20,29,23
ANB,1080,TADAWUL:1080,71,64,47,52,58
APC,2200,TADAWUL:2200,88,95,98,99,96
ARAB SEA,7201,TADAWUL:7201,12,12,12,15,14
ARABIAN DRILLING,2381,TADAWUL:2381,89,92,64,20,57
ARABIAN MILLS,2285,TADAWUL:2285,81,78,83,92,86
ARABIAN SHIELD,8070,TADAWUL:8070,22,33,47,31,33
ARDCO,4150,TADAWUL:4150,7,4,4,25,13
ARTEX,2340,TADAWUL:2340,41,34,19,54,41
ASLAK,1301,TADAWUL:1301,28,24,12,23,23
ASTRA INDUSTRIAL,1212,TADAWUL:1212,62,59,57,41,52
ATAA,4292,TADAWUL:4292,49,35,27,58,46
ATC,8130,TADAWUL:8130,78,74,70,64,70
AVALON PHARMA,4016,TADAWUL:4016,46,42,32,16,31
AWPT,2081,TADAWUL:2081,42,67,42,76,61
AYYAN,2140,TADAWUL:2140,30,46,27,29,33
AZM,7211,TADAWUL:7211,48,43,77,75,64
BAAN,1820,TADAWUL:1820,61,36,53,60,54
BAAZEEM,4051,TADAWUL:4051,70,80,41,41,55
BAHRI,4030,TADAWUL:4030,98,99,89,79,89
BANAN,4324,TADAWUL:4324,18,12,29,20,20
BATIC,4110,TADAWUL:4110,74,69,77,80,76
BAWAN,1302,TADAWUL:1302,58,26,38,34,38
BCI,1210,TADAWUL:1210,61,60,49,69,62
BINDAWOOD,4161,TADAWUL:4161,47,47,53,77,61
BISHAH AGRICULTURE,6080,TADAWUL:6080,78,74,70,,45
BJAZ,1020,TADAWUL:1020,56,58,57,30,47
BONYAN REIT,4347,TADAWUL:4347,86,83,80,70,78
BSF,1050,TADAWUL:1050,91,91,90,85,89
BUDGET SAUDI,4260,TADAWUL:4260,19,13,8,4,10
BUILD STATION,4194,TADAWUL:4194,4,2,6,2,4
BUPA ARABIA,8210,TADAWUL:8210,83,93,93,88,89
BURGERIZZR,6016,TADAWUL:6016,30,23,23,14,21
BURUJ,8270,TADAWUL:8270,59,59,70,64,64
CARE,4005,TADAWUL:4005,45,14,12,1,15
CATRION,6004,TADAWUL:6004,8,9,17,13,12
CENOMI CENTERS,4321,TADAWUL:4321,52,36,32,23,34
CENOMI RETAIL,4240,TADAWUL:4240,75,6,9,40,34
CGS,,,34,25,17,3,17
CHEMANOL,2001,TADAWUL:2001,31,18,53,98,60
CHEMICAL,2230,TADAWUL:2230,62,89,86,41,64
CHERRY,4265,TADAWUL:4265,75,70,66,22,51
CHUBB,8240,TADAWUL:8240,12,26,3,10,13
CITY CEMENT,3003,TADAWUL:3003,14,25,46,27,28
CMCER,4021,TADAWUL:4021,21,13,5,22,17
DALLAH HEALTH,4004,TADAWUL:4004,81,49,33,74,63
DAR ALARKAN,4300,TADAWUL:4300,51,58,90,40,56
DERAYAH,4084,TADAWUL:4084,38,49,33,10,29
DERAYAH REIT,4339,TADAWUL:4339,73,79,66,81,76
DUR,4010,TADAWUL:4010,82,74,70,69,73
DWF,6013,TADAWUL:6013,47,53,8,23,31
EAST PIPES,1321,TADAWUL:1321,99,99,99,96,98
EIC,1303,TADAWUL:1303,99,99,99,97,99
ELM,7203,TADAWUL:7203,14,17,25,48,31
EMAAR EC,4220,TADAWUL:4220,50,52,57,94,70
ENAYA,8311,TADAWUL:8311,92,93,98,99,97
ENTAJ,2287,TADAWUL:2287,5,9,9,31,17
