period                          RS_1Year  RS_9Months  RS_6Months  RS_3Months    RS
Company                 Symbol                                                    
2P                                  16.0        17.0        14.0        29.0  21.0
A.OTHAIM MARKET                     23.0        31.0        47.0        23.0  30.0
ABO MOATI                           95.0        86.0        53.0        58.0  70.0
ACC                                 77.0        82.0        82.0        39.0  64.0
ACIG                                 4.0         7.0        10.0        56.0  27.0
ACWA                                36.0        58.0        77.0        91.0  71.0
ADES                                98.0        90.0        75.0        78.0  84.0
ADVANCED                            50.0        30.0        30.0        88.0  58.0
AICC                                21.0        21.0        14.0        48.0  31.0
AL AZIZIAH REIT                     92.0        95.0        92.0        27.0  67.0
AL MAATHER REIT                     60.0        65.0        61.0        49.0  57.0
ALAHLI REIT 1                       52.0        62.0        51.0        30.0  45.0
ALAHLIA                             65.0        68.0        57.0        39.0  54.0
ALAKARIA                            36.0        81.0        88.0        89.0  77.0
ALAMAR                              17.0        37.0        43.0        35.0  34.0
ALANDALUS                           13.0        31.0        13.0        51.0  32.0
ALARABIA                            60.0        74.0         9.0         3.0  30.0
ALASEEL                             67.0        76.0        85.0        63.0  71.0
ALAWWAL                             71.0        68.0        57.0        39.0  55.0
ALBABTAIN                           98.0        96.0        74.0        82.0  87.0
ALBILAD                             80.0        56.0        63.0        15.0  46.0
ALDAWAA                              5.0        12.0        15.0         4.0   8.0
ALDREES                             71.0        72.0        39.0        10.0  41.0
ALETIHAD                             2.0         3.0         9.0        49.0  23.0
ALHAMMADI                           30.0        42.0        67.0        81.0  61.0
ALINMA                              89.0        92.0        92.0        68.0  82.0
ALINMA HOSPITALITY REIT             71.0        75.0        61.0        54.0  64.0
ALINMA RETAIL REIT                  84.0        79.0        81.0        50.0  69.0
ALINMA TOKIO M                      65.0        68.0        57.0        39.0  54.0
ALISTITHMAR REIT                    52.0        39.0        50.0        16.0  35.0
ALJAZIRA REIT                       35.0        36.0        32.0        26.0  31.0
ALJOUF                              75.0        54.0        66.0         2.0  40.0
ALKATHIRI                           36.0        28.0        19.0         3.0  18.0
ALKHABEER REIT                      75.0        72.0        67.0        50.0  63.0
ALKHALEEJ TRNG                      10.0        10.0         6.0         6.0   8.0
ALKHODARI                           65.0        68.0        57.0        39.0  54.0
ALMAJDIAH                            3.0         3.0         3.0         1.0   3.0
ALMAJED OUD                         59.0        89.0        84.0         3.0  48.0
ALMARAI                             49.0        54.0        70.0        66.0  61.0
ALMASAR ALSHAMIL                    58.0        62.0        42.0        60.0  57.0
ALMAWARID                           73.0        88.0        66.0        95.0  84.0
ALMOOSA                             29.0        23.0         3.0        10.0  16.0
ALMUNAJEM                           72.0        90.0        90.0        98.0  90.0
ALOMRAN                             33.0        20.0        11.0        28.0  24.0
ALRAJHI                             82.0        82.0        69.0        20.0  55.0
ALRAJHI TAKAFUL                     87.0        74.0        98.0        83.0  85.0
ALRAMZ                              59.0        63.0        38.0        72.0  61.0
ALSAGR INSURANCE                    80.0        51.0        91.0        95.0  83.0
ALSAIF GALLERY                      57.0        72.0        74.0        52.0  62.0
ALUJAIN                             27.0        30.0        47.0        62.0  46.0
ALWASAIL INDUSTRIAL                 25.0        28.0         7.0        28.0  24.0
ALYAMAMAH STEEL                     97.0        91.0        92.0        84.0  90.0
AMAK                                93.0        87.0        27.0         5.0  44.0
AMANA INSURANCE                     46.0        55.0        89.0        93.0  76.0
AMERICANA                           73.0        82.0        91.0        75.0  80.0
AMIANTIT                            19.0         9.0        16.0        61.0  34.0
AMLAK                               41.0        16.0        13.0        11.0  19.0
ANAAM HOLDING                       28.0        14.0        37.0        77.0  47.0
ANB                                 78.0        61.0        64.0        55.0  63.0
APC                                 96.0        97.0        99.0        99.0  98.0
ARAB SEA                            10.0         6.0        10.0        16.0  12.0
ARABIAN DRILLING                    93.0        94.0        36.0        92.0  82.0
ARABIAN MILLS                       92.0        91.0        91.0        91.0  92.0
ARABIAN SHIELD                      38.0        52.0        79.0        83.0  67.0
ARDCO                                3.0         5.0         9.0        36.0  18.0
ARTEX                               44.0        48.0        57.0        80.0  62.0
ASLAK                               33.0        19.0        17.0        59.0  38.0
ASTRA INDUSTRIAL                    48.0        63.0        51.0         8.0  36.0
ATAA                                44.0        42.0        27.0        45.0  41.0
ATC                                 65.0        68.0        57.0        39.0  54.0
AVALON PHARMA                       53.0        45.0        39.0        76.0  58.0
AWPT                                37.0        42.0        31.0        57.0  45.0
AYYAN                               47.0        44.0        19.0        61.0  47.0
AZM                                 27.0        40.0        30.0        47.0  39.0
Al RAJHI REIT                       58.0        64.0        65.0        48.0  57.0
BAAN                                81.0        47.0        83.0        88.0  78.0
BAAZEEM                             82.0        59.0        27.0        63.0  59.0
BAHRI                               94.0        97.0        72.0        31.0  65.0
BANAN                               11.0        17.0        22.0        14.0  16.0
BATIC                               81.0        59.0        75.0        76.0  74.0
BAWAN                               43.0        22.0        17.0        13.0  22.0
BCI                                 55.0        48.0        37.0        47.0  47.0
BINDAWOOD                           43.0        52.0        76.0        81.0  67.0
BJAZ                                57.0        63.0        76.0        52.0  60.0
BONYAN REIT                         86.0        85.0        80.0        66.0  77.0
BSF                                 88.0        92.0        86.0        42.0  70.0
BUDGET SAUDI                        12.0         9.0         4.0         2.0   6.0
BUILD STATION                        3.0         8.0        12.0        31.0  17.0
BUPA ARABIA                         85.0        92.0        96.0        69.0  83.0
BURGERIZZR                          25.0        26.0        11.0        18.0  20.0
BURUJ                               77.0        71.0        57.0        39.0  57.0
Bishah Agriculture                  65.0        68.0        57.0         NaN  38.0
CARE                                16.0        12.0         5.0         5.0   9.0
CATRION                             11.0        33.0        46.0        74.0  48.0
CENOMI CENTERS                      50.0        25.0        26.0        45.0  39.0
CENOMI RETAIL                       26.0         2.0         4.0        44.0  24.0
CGS                                 28.0        31.0        30.0        87.0  53.0
CHEMANOL                            17.0        38.0        65.0        69.0  52.0
CHEMICAL                            92.0        93.0        93.0        80.0  88.0
CHERRY                              51.0        57.0        50.0        51.0  52.0
CHUBB                               37.0        31.0        41.0        92.0  59.0
CITY CEMENT                         15.0        21.0        33.0        13.0  19.0
CMCER                               11.0        13.0        37.0        31.0  25.0
DALLAH HEALTH                       69.0        40.0        39.0        33.0  43.0
DAR ALARKAN                         54.0        86.0        81.0        26.0  55.0
DBS                                 78.0        80.0        73.0        62.0  71.0
DERAYAH                             45.0        38.0        18.0        54.0  42.0
DERAYAH REIT                        74.0        62.0        64.0        70.0  68.0
DUR                                 69.0        68.0        57.0        44.0  57.0
DWF                                 74.0        32.0        22.0        77.0  57.0
EAST PIPES                          99.0        99.0        99.0        99.0  99.0
EIC                                 99.0        98.0        96.0        35.0  73.0
ELM                                 27.0        38.0        41.0        96.0  60.0
EMAAR EC                            39.0        34.0        44.0        64.0  49.0
ENAYA                               94.0        96.0        99.0        95.0  96.0
ENTAJ                                7.0         9.0         6.0        42.0  22.0
EPCCO                               40.0        64.0        80.0        72.0  66.0
EQUIPMENT HOUSE                     45.0        35.0        35.0        24.0  33.0
ETIHAD ETISALAT                     84.0        76.0        43.0        21.0  49.0
EXTRA                               40.0        46.0        24.0        14.0  28.0
FAKEEH CARE                         68.0        57.0        78.0        88.0  76.0
FARM SUPERSTORES                    35.0        26.0        36.0        43.0  37.0
FIPCO                               70.0        49.0        52.0        85.0  69.0
FIRST MILLS                         72.0        71.0        82.0        25.0  55.0
FITAIHI GROUP                       29.0        35.0        22.0        28.0  29.0
FLYNAS                              25.0        23.0        20.0        82.0  47.0
FOURTH MILLING                      91.0        88.0        88.0        74.0  83.0
GACO                                31.0        16.0         7.0        12.0  16.0
GAS                                 60.0        64.0        89.0        91.0  79.0
GASCO HOLDING                       61.0        76.0        16.0        24.0  41.0
GIG                                 96.0        94.0        97.0        97.0  97.0
GO TELECOM                          79.0        46.0        79.0        80.0  73.0
GULF GENERAL                        22.0        35.0        48.0        77.0  52.0
GULF UNION ALAHLIA                  58.0        83.0        90.0        97.0  85.0
HB                                  32.0        32.0        40.0        61.0  46.0
HCC                                 70.0        68.0        57.0        39.0  55.0
HERFY FOODS                         19.0        13.0        47.0        56.0  39.0
JABAL OMAR                          26.0        34.0        44.0        17.0  28.0
JADWA REIT ALHARAMAIN               49.0        60.0        63.0        59.0  59.0
JADWA REIT SAUDI                    83.0        74.0        65.0        29.0  57.0
JAHEZ                                4.0        10.0        34.0        86.0  44.0
JAMJOOM PHARMA                      76.0        78.0        84.0        83.0  81.0
JARIR                               96.0        96.0        94.0        90.0  94.0
JAZADCO                             30.0        27.0        36.0        19.0  27.0
JAZIRA TAKAFUL                      56.0        60.0        70.0        58.0  61.0
JOUF CEMENT                          8.0        24.0         6.0        45.0  26.0
KEC                                 53.0        53.0        48.0        59.0  55.0
KINGDOM                             98.0        99.0        99.0        98.0  99.0
LAZURDE                             48.0        39.0        35.0        19.0  32.0
LEEJAM SPORTS                       12.0         3.0         4.0        30.0  16.0
LIVA                                88.0        83.0        88.0        96.0  91.0
LUBEREF                             91.0        98.0        87.0        90.0  92.0
LUMI                                 6.0         2.0         2.0         9.0   6.0
MAADANIYAH                          51.0        12.0        25.0        53.0  39.0
MAADEN                              94.0        87.0        75.0        36.0  66.0
MAHARAH                             97.0        98.0        81.0        73.0  85.0
MALATH INSURANCE                    24.0        15.0        62.0        67.0  47.0
MARAFIQ                             61.0        75.0        68.0        94.0  79.0
MASAR                               20.0        17.0        34.0        55.0  37.0
MBC GROUP                           18.0        14.0         8.0         8.0  12.0
